modelo,ruta,MAE_valid
XGB + Optuna,Laboratorios\Laboratorio_6\data\best_pipeline_optuna.pkl,2466.01123046875
XGB + Optuna + Pruning,Laboratorios\Laboratorio_6\data\best_pipeline_optuna_pruning.pkl,2571.74462890625
XGBRegressor (default),Laboratorios\Laboratorio_6\data\xgb_regressor_model.pkl,2796.359130859375
XGBRegressor (constraints),Laboratorios\Laboratorio_6\data\xgb_regressor_model_wc.sav,2903.112060546875
DummyRegressor (baseline),Laboratorios\Laboratorio_6\data\dummy_regressor_model.pkl,12518.387190585083
