y_val,y_pred_dummy
22332,29589.66334546848
10775,29589.66334546848
24504,29589.66334546848
18249,29589.66334546848
19460,29589.66334546848
27602,29589.66334546848
57391,29589.66334546848
9388,29589.66334546848
16182,29589.66334546848
11448,29589.66334546848
14358,29589.66334546848
18299,29589.66334546848
31858,29589.66334546848
9881,29589.66334546848
14098,29589.66334546848
9393,29589.66334546848
5877,29589.66334546848
29345,29589.66334546848
27756,29589.66334546848
8801,29589.66334546848
13495,29589.66334546848
45236,29589.66334546848
27639,29589.66334546848
54456,29589.66334546848
38688,29589.66334546848
18953,29589.66334546848
37362,29589.66334546848
38536,29589.66334546848
28383,29589.66334546848
54191,29589.66334546848
21511,29589.66334546848
26527,29589.66334546848
26807,29589.66334546848
32680,29589.66334546848
20275,29589.66334546848
19415,29589.66334546848
12472,29589.66334546848
8989,29589.66334546848
6941,29589.66334546848
43373,29589.66334546848
25165,29589.66334546848
17324,29589.66334546848
35062,29589.66334546848
22479,29589.66334546848
36827,29589.66334546848
28699,29589.66334546848
33493,29589.66334546848
17379,29589.66334546848
17276,29589.66334546848
19011,29589.66334546848
11243,29589.66334546848
37264,29589.66334546848
44173,29589.66334546848
35949,29589.66334546848
17908,29589.66334546848
9687,29589.66334546848
15804,29589.66334546848
26307,29589.66334546848
12610,29589.66334546848
23059,29589.66334546848
39302,29589.66334546848
26274,29589.66334546848
29629,29589.66334546848
14954,29589.66334546848
39549,29589.66334546848
30629,29589.66334546848
17187,29589.66334546848
14816,29589.66334546848
25668,29589.66334546848
12388,29589.66334546848
22913,29589.66334546848
17985,29589.66334546848
40584,29589.66334546848
41258,29589.66334546848
20777,29589.66334546848
52445,29589.66334546848
13650,29589.66334546848
39404,29589.66334546848
25439,29589.66334546848
13730,29589.66334546848
14735,29589.66334546848
15825,29589.66334546848
72802,29589.66334546848
46624,29589.66334546848
54182,29589.66334546848
26458,29589.66334546848
40519,29589.66334546848
46797,29589.66334546848
37285,29589.66334546848
27602,29589.66334546848
38414,29589.66334546848
28166,29589.66334546848
15956,29589.66334546848
28656,29589.66334546848
56342,29589.66334546848
14966,29589.66334546848
9333,29589.66334546848
6254,29589.66334546848
22169,29589.66334546848
16344,29589.66334546848
11190,29589.66334546848
13600,29589.66334546848
10583,29589.66334546848
6057,29589.66334546848
