Métrica,Batch_1,Batch_4,Δ_Absoluto,Δ_Porcentual,Volatilidad
Accuracy,0.8043737574552684,0.7992912092661423,-0.005082548189126124,-0.6318639987964508,0.011924710111873021
Precision,0.08349067081297201,0.08033150966903202,-0.0031591611439399925,-3.7838492770250336,0.013842160546229217
Recall,0.7620375063355297,0.7723958333333333,0.01035832699780359,1.3592935927280667,0.0053198496139469295
F1,0.1504929683199039,0.14552769736519308,-0.004965270954710832,-3.2993375106776566,0.02187395999693874
ROC_AUC,0.8535522811049309,0.8595217277075539,0.005969446602622996,0.6993650810581276,0.0070375806249402435
