Batch,Semana,Período,N_muestras,Accuracy,Precision,Recall,F1,ROC_AUC
Batch 1,2025-01,01-01 a 05-01,173535,0.8043737574552684,0.08349067081297201,0.7620375063355297,0.1504929683199039,0.8535522811049309
Batch 2,2025-02,06-01 a 11-01,173535,0.8248134382113118,0.11027066435796956,0.7654997891185154,0.1927723639839622,0.8659019996399224
Batch 3,2025-03,13-01 a 19-01,173535,0.8185553346587143,0.09806245185755762,0.7603951297955434,0.1737213635290104,0.8694767969115417
Batch 4,2025-04,20-01 a 26-01,173535,0.7992912092661423,0.08033150966903202,0.7723958333333333,0.14552769736519308,0.8595217277075539
