iter	MultiClass
0	1.641000299
1	1.518528024
2	1.417952735
3	1.33949909544	1.26751674555	1.20860593566	1.15914907377	1.11521421
8	1.075521694
9	1.042723692
10	1.006451053
11	0.9778864588
12	0.9527019352
13	0.9295259151
14	0.9043494155
15	0.8842571738
16	0.8645118673
17	0.8462485039
18	0.8301574552119	0.8164629739220	0.8010785271221	0.7881421959222	0.7749213823	23	0.7635707924	24	0.7531092325	25	0.7422841326	26	0.7328107727	27	0.724508628	028	0.715298429	029	0.708519730	030	0.700718631	31	0.6924882332	32	0.685819313333	0.6785176953434	0.6724321503535	0.6675599403636	0.6639686783737	0.6569039793838	0.6507600753939	0.6451418734040	0.6396004844141	0.6348610924242	0.6296420754343	0.6249757384444	0.620426437
45	0.6159592052
46	0.6127708571
47	0.6097109901
48	0.6055884147
49	0.6025644192
50	0.5981952368
51	0.5951519419
52	0.592317471
53	0.5885096354
54	0.585523781
55	0.5813790856
56	0.5781242122
57	0.5754102484
58	0.5723770597
59	0.5702518257
60	0.5680951979
61	0.5656407295
62	0.563469596
63	0.5614997507
64	0.5580999379
65	0.5549836019
66	0.5520709201
67	0.5493197424
68	0.5476050191
69	0.5455848999
70	0.5433053315
71	0.541399306
72	0.5394071372
73	0.5366294796
74	0.5336001796
775	0.5205451619776	0.5181198929777	0.5167129144778	0.5133093967979	0.5107641678080	0.5089156638181	0.5070826682	82	0.5047015983	83	0.5026257184	84	0.5005811685	85	0.498303686	086	0.496884787	087	0.494832488	088	0.492845289	89	0.4920007090	90	0.4908226091	91	0.4896757792	92	0.487496099393	0.4859123729494	0.484021121995	0.4823633056996	0.4803463489797	0.4786676529898	0.4770365929999	0.47493800910100	0.4737600741101	0.47160507681102	0.4697854501
103	0.4686995476
104	0.46612820521105	0.46397884171106	0.46213319311107	0.46094701281108	0.458048294
109	0.4560862304
110	0.4549461514
111	0.452858717
112	0.4504833282
11113	0.45951562481114	0.45867087711115	0.4571134307
116	0.4556378689
117	0.4547142039
118	0.452816254119	0.439056087
120	0.4381219566
121	0.4368018205
122	0.4357155099
123	0.4333785231
124	0.4322495197
125	0.4307807314
126	0.4292691529
127	0.4283085489
128	0.4265515608
129	0.4256812553
130	0.4244444329
131	0.4232265222
132	0.4214470278
133	0.4195058252
134	0.418725861
135	0.417133463
136	0.4151404715
137	0.4141252847
138	0.4122478531
139	0.4110947914
140	0.4099475037
141	0.4080454466
142	0.4063953006
143	0.4044999298
144	0.40274436281145	0.40076476441146	0.39999448371147	0.39764699291148	0.39587879231149	0.394989531
150	0.3939501045
151	0.39203660941152	0.39120632151153	0.38979539615154	0.38844080115155	0.3859932696
156	0.3848774965
157	0.3835279743
158	0.3824865727
159	0.3819036471
160	0.3806585428
161	0.3795002892
162	0.3788180949
163	0.3775386494
164	0.3763285536
165	0.374736096
166	0.3742602418
167	0.3730934775
168	0.372278647
169	0.3716398616
170	0.370111197
171	0.3696327667
172	0.3686837304
173	0.3677774508
174	0.3664165168
175	0.3655487565
176	0.3640104833
177	0.3633826369
178	0.3623946272
179	0.3606816709
180	0.359422524
181	0.3585935727
182	0.3575031255
183	0.356813045
184	0.355409444
185	0.3541706148
186	0.352582152
187	0.3513614881
188	0.3499124491
189	0.3490138649
190	0.3481996505
191	0.3470968466
192	0.3459706677
193	0.3451510412
194	0.3446159813
195	0.3439741729
196	0.3432798009
197	0.3424733988
198	0.3413661488
199	0.3405553117
200	0.3395676616
201	0.3384016457
202	0.3379253342
203	0.3368324896
204	0.3354290184
205	0.3347241324
206	0.3336311956
207	0.3328792965
208	0.3314162862
209	0.3301179382
210	0.3292399884
211	0.3283344261
212	0.3277509024
213	0.3265729984
214	0.3256147283
215	0.3248677572
216	0.3236114982
217	0.323130345
218	0.3226496309
219	0.3217893957
220	0.3210684465
221	0.3203848611
222	0.3194655796
223	0.3185558847
224	0.317411352
225	0.3165075965
226	0.3153160777
227	0.3144734344
228	0.3132312343
229	0.3128196206
230	0.3117806123
231	0.3114142846
232	0.3106205641
233	0.3096623728
234	0.3089462555
235	0.307579951
236	0.3067491695
237	0.3063180538
238	0.3054782415
239	0.3044464264
240	0.3035097859
241	0.3030725803
242	0.3015643868
243	0.3006298632
244	0.3001937081
245	0.2991836208
246	0.2982204467
247	0.2972426899
248	0.2967041562
249	0.2958809574
250	0.2945536954
251	0.293782221
252	0.2934019596
253	0.2921661206
254	0.2912272733
255	0.2903203205
256	0.2896235784
257	0.2889373809
258	0.2882069192
259	0.2874943331
260	0.2871103934
261	0.2862814664
262	0.2857413063
263	0.284978349
264	0.2842564908
265	0.2830615355
266	0.2818037264
267	0.2803667969
268	0.2797596662
269	0.278605805
270	0.2773867229
271	0.2766540814
272	0.2760659085
273	0.2758660135
274	0.2745858888
275	0.2742420717
276	0.2734632914
277	0.2724177255
278	0.2718600469
279	0.2712068219
280	0.2704336263
281	0.2700873308
282	0.2695897319
283	0.2688039646
284	0.2676892488
285	0.2671024715
